imports,exports,year1,year2,year3
71.02225112,33.84113044,1,1,
72.43333489,36.38260239,2,2,
73.66325043,38.40934172,3,3,
74.50859684,40.01233228,4,4,
74.81996932,40.79569718,5,5,
75.45296466,41.62378717,6,6,
76.59412014,43.68579738,7,7,
78.03512221,46.62861742,8,8,
80.45706256,50.22544872,9,9,
80.5580849,54.86067231,10,10,
81.8373112,58.63059838,11,11,
81.96822275,62.76103646,12,12,
82.76634828,66.14363662,13,13,
83.30039129,69.34259381,14,14,
84.48757236,73.8741548,15,15,
85.99527381,77.11419864,16,16,
86.59839622,78.34510983,17,17,
87.74018632,78.38592715,18,18,
88.46640544,78.49892992,19,19,
89.37403011,78.34123722,20,20,
91.11490213,77.5292445,21,21,
93.4319129,76.8277346,22,22,
95.69351759,75.67284976,23,23,
98.55029665,74.56378925,24,24,
99.83087533,73.5035484,25,25,
101.406898,72.33655443,26,26,
102.9217349,71.84714636,27,27,
103.2379504,71.35568545,28,28,
103.1135864,70.44904639,29,29,
103.0040526,68.65738752,30,30,
102.0534036,66.73788783,31,31,
101.0612864,64.50912862,32,32,
99.9165063,62.7797465,33,33,
98.5887925,61.27997415,34,34,
95.94311591,60.64080802,35,35,
94.74608362,60.71192083,36,36,
94.53817779,60.90564089,37,37,
93.94516241,61.03028086,38,38,
93.29308083,62.05688087,39,39,
93.3097577,62.97294689,40,40,
93.36013948,64.56124002,41,41,
93.13091708,66.3663151,42,42,
93.15540783,68.01303333,43,43,
93.53154686,70.48135343,44,44,
93.58724103,72.92207062,45,45,
93.68255586,74.36599282,46,46,
93.49545474,75.02489814,47,47,
93.33235772,75.41085219,48,48,
92.79567147,75.41557678,49,49,
92.26094301,76.04290096,50,50,
92.03348869,77.3627544,51,51,
92.03504566,78.69930073,52,52,
91.77814455,79.75883535,53,53,
91.11231575,81.21764581,54,54,
90.69515313,82.19527894,55,55,
89.98697608,83.3461894,56,56,
88.82944359,85.30488294,57,57,
87.07762547,89.18325956,58,58,58
84.4081525,93.36210796,59,,59
81.47747964,97.82244345,60,,60
79.44863015,102.246416,61,,61
78.20586172,106.3416193,62,,62
77.59034822,110.9710589,63,,63
77.27787554,115.2961851,64,,64
77.11949917,120.7430612,65,,65
76.63609453,126.613936,66,,66
76.69895183,131.3331286,67,,67
76.77139596,135.6187168,68,,68
76.96154473,139.6993611,69,,69
77.26874416,143.9784746,70,,70
77.9794687,145.681175,71,,71
78.842413,146.9712378,72,,72
79.79093756,149.4264982,73,,73
80.75308424,151.5981531,74,,74
81.69628795,155.0746224,75,,75
82.36510236,158.7427636,76,,76
83.21070748,160.8359414,77,,77
84.59213277,163.5313941,78,,78
86.14030234,165.9540772,79,,79
87.94301375,168.6065328,80,,80
89.44243703,171.875972,81,,81
90.57554081,175.5679552,82,,82
91.32606471,178.6512218,83,,83
91.93364048,181.0155087,84,,84
92.11139619,182.5812438,85,,85
92.17069619,184.2304434,86,,86
91.87693278,185.1374863,87,,87
92.47249764,186.2037699,88,,88