value,year,month,height,cumul_mean1
0.4445360476,a,dec,0.4445360476,0.2952481093
1.058952891,aa,dec,1.058952891,0.5968655729
0.8298954263,aaa,dec,0.8298954263,0.6738478614
0.2694701107,aaaa,jan,0.2694701107,0.5793686078
0.6911135946,aaaaa,jan,0.6911135946,0.591287462
0.8356130579,aaaaaa,jan,0.8356130579,0.6327819251
1.805497232,b,jan,1.805497232,0.7984401982
1.931914592,bb,jan,1.931914592,0.9226984294
0.2388137137,bbb,feb,0.2388137137,0.8636779486
1.588272192,bbbb,feb,1.588272192,0.9229090612
1.780948135,bbbbb,feb,1.780948135,0.9939791333
1.804942704,bbbbbb,feb,1.804942704,1.053210246
1.503579306,c,mar,1.503579306,1.088785229
2.624100218,cc,mar,2.624100218,1.189401858
2.340818923,ccc,mar,2.340818923,1.26636962
1.852692047,cccc,mar,1.852692047,1.3137763
2.340594114,ccccc,mar,2.340594114,1.361175716
2.557369537,cccccc,apr,2.557369537,1.426333571
2.183737672,d,apr,2.183737672,1.461908555
2.141436191,dd,apr,2.141436191,1.509329761
2.111221917,ddd,apr,2.111221917,1.527168095
2.117126889,dddd,may,2.117126889,1.556838125
1.990477228,ddddd,may,1.990477228,1.568749716
2.291623311,dddddd,may,2.291623311,1.616170922
2.550580317,e,may,2.550580317,1.634016519
1.484073414,ee,jun,1.484073414,1.63411094
0,eee,jun,NA,
0,eeee,jun,NA,
0,eeeee,jun,NA,
0,eeeeee,jun,NA,
1.007449245,f,jul,1.007449245,0.688817245
2.326768386,ff,jul,2.326768386,1.374743309
1.754300824,fff,jul,1.754300824,1.481279417
2.489222562,ffff,jul,2.489222562,1.706045329
2.0372524,fffff,aug,2.0372524,1.747554318
2.037132502,ffffff,aug,2.037132502,1.783114775
2.458768492,g,aug,2.458768492,1.866002017
1.880268567,gg,aug,1.880268567,1.872030444
2.078984367,ggg,sep,2.078984367,1.895802784
1.982466548,gggg,sep,1.982466548,1.901816685
2.404095045,ggggg,sep,2.404095045,1.937384405
1.325553389,gggggg,sep,1.325553389,1.902041843
2.626805414,h,sep,2.626805414,1.94941947
2.150720785,hh,oct,2.150720785,1.95547695
2.325322118,hhh,oct,2.325322118,1.979205711
2.180620327,hhhh,oct,2.180620327,1.997058571
2.126291586,hhhhh,oct,2.126291586,1.991277091
1.61406523,hhhhhh,nov,1.61406523,1.973620337
2.728561272,i,nov,2.728561272,2.02693197
1.643972266,ii,nov,1.643972266,2.003406577
2.73435384,iii,nov,2.73435384,2.027149865
0.8785889653,iiii,dec,0.8785889653,0.8802888075
0.9387177675,iiiii,dec,0.9387177675,0.8981489309
1.432652198,iiiiii,dec,1.432652198,1.057880461
1.902487148,j,dec,1.902487148,1.270836467
2.263859451,jj,dec,2.263859451,1.466048559
0.4382189264,jjj,jan,0.4382189264,1.31834483
1.582824331,jjjj,jan,1.582824331,1.348022124
2.052659282,jjjjj,jan,2.052659282,1.430902102
1.968198697,jjjjjj,jan,1.968198697,1.496045432
1.684917402,k,feb,1.684917402,1.507957023
1.540215611,kk,feb,1.540215611,1.51398545
1.52203609,kkk,feb,1.52203609,1.496372274
2.552176458,kkkk,feb,2.552176458,1.596981639
2.064049583,kkkkk,mar,2.064049583,1.614827236
1.678345498,kkkkkk,mar,1.678345498,1.60903123
0.9914054056,l,mar,0.9914054056,1.585484049
2.425204571,ll,mar,2.425204571,1.626978512
1.135777477,lll,mar,1.135777477,1.597613535
1.268219707,llll,apr,1.268219707,1.6152485
0,lllll,apr,NA,
0,llllll,apr,NA,
0,m,apr,NA,
0,mm,may,NA,
1.014620639,mmm,may,1.014620639,1.302547446
1.327793981,mmmm,may,1.327793981,1.302663657
1.020428194,mmmmm,may,1.020428194,1.279145528
1.237203616,mmmmmm,may,1.237203616,1.243773913
0.4538656038,n,jun,0.4538656038,0.433901934
1.128531147,nn,jun,1.128531147,0.9660958419
1.16456047,nnn,jun,1.16456047,1.013517048
0.9174358883,nnnn,jun,0.9174358883,0.9958893457
0.7426172409,nnnnn,jun,0.7426172409,0.9486860347
1.435364888,nnnnnn,jul,1.435364888,1.019756107
1.16412584,o,jul ,1.16412584,1.037608967
1.230287006,oo,jul,1.230287006,1.049535084
0.6397598207,ooo,jul,0.6397598207,1.014177996
1.06137333,oooo,aug,1.06137333,1.014286943
0.7720671652,ooooo,aug,0.7720671652,1.014395891
0.7056736972,oooooo,aug,0.7056736972,0.9849510189
0.3681760657,p,aug,0.3681760657,0.9495648777
0.9344164299,pp,aug,0.9344164299,0.9496520357
1.934424954,ppp,sep,1.934424954,1.008883148
1.157104318,pppp,sep,1.157104318,1.020831055
1.428111065,ppppp,sep,1.428111065,1.026844956
0.596574092,pppppp,sep,0.596574092,1.021056213
3.10280012,q,oct,3.10280012,1.127577795
0.7469785274,qq,oct,0.7469785274,1.098132923
2.819406421,qqq,oct,2.819406421,1.186910592
1.066056842,qqqq,oct,1.066056842,1.175216896
1.228630916,qqqqq,nov,1.228630916,1.169406364
2.493741214,qqqqqq,nov,2.493741214,1.240461909
1.740527552,r,nov,1.740527552,1.252388027
1.80667373,rr,nov,1.80667373,1.270233624
0.5353137533,rrr,nov,0.5353137533,0.6791354457
2.047451216,rrrr,dec,2.047451216,1.276370998
2.077448175,rrrrr,dec,2.077448175,1.512968607
1.902637021,rrrrrrr,dec,1.902637021,1.601753539
0.974702128,s,jan,0.974702128,1.501383858
2.221730323,ss,jan,2.221730323,1.61378134
1.679379617,sss,jan,1.679379617,1.613912077
2.227537878,ssss,jan,2.227537878,1.720455449